,Publisher,Title,URL,Date,2022-12-07,2022-12-09,2022-12-10,2022-12-11,2022-12-12,2022-12-13,2022-12-14,Afghanistan,Bangui,Bashar al-Assad,Britain,China,Dmitry Peskov,Dmitry Utkin,Donbas,Emmanuel Macron,France,Germany,Hungary,Iran,Joe Biden,Kadiivka,Kharkiv,Kyiv,Libya,Luhansk,Mali,Moscow,Nigeria,Odesa,Poland,Prigozhin,Russia,Russian Federation,Saint Petersburg,Saudi Arabia,Serhiy Gaidai,St Petersburg,St. Petersburg,Sudan,Syria,U.S.,UK,US,Ukraine,Ukrainian,United States,Vladimir Putin,Volodymyr Zelensky,Washington,Yevgeny Nuzhin,Yevgeny Prigozhin,colonies
0,The Daily Beast,Bombing of Vladimir Putin's 'Elite' Wagner Group Fighters in Ukraine Infuriates Russia - The Daily Beast,https://www.thedailybeast.com/bombing-of-vladimir-putins-elite-wagner-group-fighters-in-ukraine-infuriates-russia,"Tue, 13 Dec 2022 19:33:08 GMT",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1,Newsweek,"Russian Soldiers Executed for Showing Fear, Captured Recruit Says - Newsweek",https://www.newsweek.com/russian-soldiers-executed-fear-wagner-ukraine-1766773,"Tue, 13 Dec 2022 15:51:49 GMT",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1
2,bne IntelliNews,Russian paramilitary group Wagner reportedly opens 'cultural centre' in Belgrade - bne IntelliNews,https://www.intellinews.com/russian-paramilitary-group-wagner-reportedly-opens-cultural-centre-in-belgrade-264631/,"Thu, 08 Dec 2022 10:00:27 GMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
3,Newsweek,Russia's Wagner Group Is About More Than Mercenaries | Opinion - Newsweek,https://www.newsweek.com/russias-wagner-group-about-more-mercenaries-opinion-1766048,"Fri, 09 Dec 2022 17:51:26 GMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0
4,CNN,US considering designating Russian mercenary group as a foreign terrorist organization - CNN,https://www.cnn.com/2022/11/30/politics/us-wagner-group-mercenaries-terrorists/index.html,"Wed, 30 Nov 2022 08:00:00 GMT",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0
5,CNN,State Department adds Russian mercenary firm Wagner Group to entities of concern under International Religious Freedom Act - CNN,https://www.cnn.com/2022/12/02/politics/us-russia-wagner-group-religious-freedom-act/index.html,"Fri, 02 Dec 2022 08:00:00 GMT",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
6,The Washington Post,"Russia's Wagner Group mercenaries active in Africa's illicit diamond trade, report says - The Washington Post",https://www.washingtonpost.com/world/2022/12/06/wagner-group-mercenaries-africa-diamonds/,"Tue, 06 Dec 2022 12:00:00 GMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Newsweek,"Notorious Wagner Group Targeting Volunteers in Ukraine, U.S. Trainer Says - Newsweek",https://www.newsweek.com/wagner-group-targeting-volunteers-ukraine-mozart-group-russia-andy-milburn-1765321,"Wed, 07 Dec 2022 13:54:41 GMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0
8,CNN,Wagner Group boss and Russian oligarch Yevgeny Prigozhin applauds murder of former fighter - CNN,https://www.cnn.com/2022/11/14/europe/russia-yevgeny-prigozhin-wagner-group-mercenary-intl/index.html,"Mon, 14 Nov 2022 08:00:00 GMT",0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0
9,CNBC,"Ukraine war live updates: IAEA to permanently monitor nuclear plants; Belarus military drills put Ukraine, Poland on watch - CNBC",https://www.cnbc.com/2022/12/13/ukraine-war-live-updates-latest-news-on-russia-and-the-war-in-ukraine.html,"Tue, 13 Dec 2022 07:27:58 GMT",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,Fox News,"Russia's Wagner Group fighters burn through 2,000 rounds of ammo per day fighting determined Ukrainian army - Fox News",https://www.foxnews.com/world/russias-wagner-group-fighters-burn-through-2k-rounds-ammo-per-day-fighting-determined-ukrainian-army,"Thu, 08 Dec 2022 19:41:08 GMT",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
